customer_name,hostname,family,ndi,cbp_cnt,fn_cnt,eox_cnt,psirt_cnt,ccf_cnt,cna_cnt,slg_cnt,siar_cnt
BOA,AZCDRAE01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRAS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRAS01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRAS02E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRAS02E2,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRAS02VAR01,2800,0.286385564,1,1,0,0,0,0,0,0
BOA,AZCDRBA2BIDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBB02IDE09,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBB02IDE10,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBB02R09,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRBB1AMTR01,7600,0.352786394,1,2,0,0,0,0,0,0
BOA,AZCDRBB1ATUR01,7200,0.415823941,1,2,4,0,0,0,0,0
BOA,AZCDRBB1ATUR02,7200,0.415823941,1,2,4,0,0,0,0,0
BOA,AZCDRBB1ATUR03,7200,0.415823941,1,2,4,0,0,0,0,0
BOA,AZCDRBB1ATUR04,7200,0.415823941,1,2,4,0,0,0,0,0
BOA,AZCDRBB1AVAR01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRBB1AVAR02,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRBC01MTR01,7600,0.352786394,1,2,0,0,0,0,0,0
BOA,AZCDRBC3AIDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBD1CIDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBD2AIDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRBD3CIDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRCC01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRCF01R5,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZCDRFC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRFC01R1,3800,0.233436891,0,1,0,0,0,0,0,0
